vardas,pavarde,email,telefonas,skaitytojo_kortele,username,password
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,K11486800,aliauskas,A3k0fzqN
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,K46766538,kurbonas,h3dN5rD1
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,13716918,gjankauskait,wZ6ZbNs0
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,49577809,gkazlauskait,xS0bCehT
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,48855869,ljonait,xBtYcgWW
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,89796519,obaranauskait,t7NG0RVq
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,85209344,jaliauskas,2EvNion9
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,80732945,mpupinis,0iANBWZg
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,71449089,gpetrauskait,jmbwA6xM
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,13861547,mpupinis,qF1a81fc
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,55601074,ijankauskait,VkkaO85M
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,74386690,jjonaitis,USrrYc6F
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,58130850,gbaranauskait,UN5nvIXN
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,57459217,gjankauskait,A4WxLmuN
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,38048427,rjonait,okPT5Z40
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,57533943,ovasiliauskait,XRt1JmWc
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37065444380,53130346,gpetrauskait,A1peN09W
Petras,Petrauskas,petras.petrauskas@hotmail.com,Tel+37068399813,30837595,ppetrauskas,WOr3eWMo
Ona,Petrauskaitė,ona.petrauskaite@hotmail.com,Tel+37067476571,67072161,opetrauskait,MSQbILvk
Dominykas,Urbonas,dominykas.urbonas@yahoo.com,Tel+37063421433,93481055,durbonas,CLsbHmMf
Žygimantas,Žaliauskas,zalias15@gmail.com,Tel+37060052852,36061723,aliauskas,2u8z1P1j
Karolis,Urbonas,karolis.urbonas@gmail.com,Tel+37067391123,61529516,kurbonas,8F6vn0HZ
Greta,Jankauskaitė,greta.jankauskaite@hotmail.com,Tel+37063689618,58926305,gjankauskait,haYPCqGK
Greta,Kazlauskaitė,greta.kazlauskaite@yahoo.com,Tel+37065615109,13533669,gkazlauskait,lbY7lRxX
Lina,Jonaitė,lina.jonaite@yahoo.com,Tel+37069063016,84806770,ljonait,cVBiC1bJ
Ona,Baranauskaitė,ona.baranauskaite@hotmail.com,Tel+37069311636,52238451,obaranauskait,NHSVQKYG
Jonas,Žaliauskas,jonas.zaliauskas@hotmail.com,Tel+37062420248,68877594,jaliauskas,NgZeBRLo
Marius,Pupinis,marius.pupinis@yahoo.com,Tel+37068879227,41030897,mpupinis,wAoDvCX8
Gabija,Petrauskaitė,gabija.petrauskaite@gmail.com,Tel+37068142709,89459442,gpetrauskait,pWoK6xWu
Marius,Pupinis,marius.pupinis@hotmail.com,Tel+37067277857,56471161,mpupinis,OH3W1sXr
Ieva,Jankauskaitė,ieva.jankauskaite@gmail.com,Tel+37064890459,53112753,ijankauskait,IzgqBcgY
Jonas,Jonaitis,jonas.jonaitis@gmail.com,Tel+37067605524,40632226,jjonaitis,9NJkRXvv
Gabija,Baranauskaitė,gabija.baranauskaite@gmail.com,Tel+37065799477,38602244,gbaranauskait,DvcDFXVn
Gabija,Jankauskaitė,gabija.jankauskaite@hotmail.com,Tel+37063358650,36375656,gjankauskait,np6uXU33
Rasa,Jonaitė,rasa.jonaite@hotmail.com,Tel+37067901509,33442141,rjonait,8HLEdxp7
Ona,Vasiliauskaitė,ona.vasiliauskaite@gmail.com,Tel+37065894651,77319405,ovasiliauskait,jLy9qYLB
