vardas,pavarde,email,telefonas,skaitytojo_kortele,autorius,knygos_pavadinimas,ISBN,knygos_paemimo_data,knygos_grazinimo_data,vardas_x,pavarde_x,username,password,vardas_y,pavarde_y,knyga,data
,,karolis.urbonas@gmail.com,Tel+37067391123,41063322,,,,,,Karolis,Urbonas,kurbonas,FOkiMQ3D,,,,
kala,mala,mala@bala.lt,60050022,29069028,,Greitesnis Už Žaibą: Mano Gyvenimo Istorija,,2000-03-08 00:00:00,2000-04-08 00:00:00,,,balas,1234,,,,
kala,mala,mala@bala.lt,60050022,29069028,,Kelionės Aplink Šiaurės Ašigalį,,2007-09-04 00:00:00,2007-09-30 00:00:00,,,balas,1234,,,,
kala,mala,mala@bala.lt,60050022,29069028,,Lietuvos Diplomatijos Istorija Tarpukariu,,2014-10-13 00:00:00,2014-10-24 00:00:00,,,balas,1234,,,,
ali,bali,bal@lk.lt,60000000,93252287,,Liudvika Didžiulienė-Žmona: Moters Gyvenimo Ir Kūrybos Kelias,,2019-10-05 00:00:00,2019-10-23 00:00:00,,,bali,bali,,,,
ali,bali,bal@lk.lt,60000000,93252287,,Meilė Choleros Metu,,2024-06-27 00:00:00,2024-07-15 00:00:00,,,bali,bali,,,,
ali,bali,bal@lk.lt,60000000,93252287,,Balta Drobulė,,2009-08-18 00:00:00,2009-08-22 00:00:00,,,bali,bali,,,,
ali,bali,bal@lk.lt,60000000,93252287,,Debesų Atlasas,,2016-11-02 00:00:00,2016-11-03 00:00:00,,,bali,bali,,,,
storas,katinas,sk@takas.lt,Tel+37060000000,89677128,,Nacistinė Vokietija: Karinė Galybė Ir Žlugimas,,2019-09-16 00:00:00,2019-11-13 00:00:00,,,skatinas,sePdOur9,,,,
storas,katinas,sk@takas.lt,Tel+37060000000,89677128,,Lietuvos Didžiosios Kunigaikštystės Dinastijos,,2008-09-19 00:00:00,2008-10-19 00:00:00,,,skatinas,sePdOur9,,,,
pirmas,pirmas,pirmas@one.lt,Tel+37064729983,12246779,,Vaikų Karas,,2008-06-15 00:00:00,2008-06-18 00:00:00,,,ppirmas,pQui8Stn,,,,
Piktas,Katinas,piktas.katinas@gmail.com,Tel+37064729983,48617732,,Metai,,2023-12-17 00:00:00,2024-01-25 00:00:00,,,pkatinas,F9PK4jPn,,,,
Piktas,Katinas,piktas.katinas@gmail.com,Tel+37064729983,48617732,,Mano Kovos Su Likimu,,2018-01-08 00:00:00,2018-01-21 00:00:00,,,pkatinas,F9PK4jPn,,,,
Piktas,Katinas,piktas.katinas@gmail.com,Tel+37064729983,48617732,,Puikusis Saliamonas,,2002-12-09 00:00:00,2002-12-22 00:00:00,,,pkatinas,F9PK4jPn,,,,
Piktas,Šuo,piktas.suo@gmail.com,Tel+37064729983,59609292,,Kai Mes Išsiskyrėme,,2015-11-04 00:00:00,2016-01-02 00:00:00,,,puo,BUHp49x4,,,,
Piktas,Šuo,piktas.suo@gmail.com,Tel+37064729983,59609292,,Laisvės Kovos Metai,,2014-02-25 00:00:00,2014-04-09 00:00:00,,,puo,BUHp49x4,,,,
Piktas,Šuo,piktas.suo@gmail.com,Tel+37064729983,59609292,,Laukinė: Kelionė Per Šiaurės Amerikos Kalnus,,2011-03-19 00:00:00,2011-05-18 00:00:00,,,puo,BUHp49x4,,,,
Piktas,Šuo,piktas.suo@gmail.com,Tel+37064729983,59609292,,Mano Vardas - Marytė,,2011-02-18 00:00:00,2011-03-05 00:00:00,,,puo,BUHp49x4,,,,
